ID,Item
PD0020,Lizard
PD0020,Tiger
PD0020,Sheep
PD0020,Dog
PD0020,Rooster
PD0020,Camel
PD0020,Wild Sheep
PD0020,Monkey
PD0020,Camel
PD0020,Chicken
PD0020,Fox
PD0020,Panda
PD0020,Dolphin
PD0020,Elephant
PD0020,Hare
PD0020,Bison
PD0020,Cheetah
PD0020,Mouse
PD0020,Bird
PD0020,Camel
PD0020,Dragon
PD00048,Lion
'PD00048',Lynx
'PD00048',Elephant
'PD00048',Rhino
'PD00048',Sheep
'PD00048',Giraffe
'PD00048',Deer
'PD00048',Elk
'PD00048',Fish
'PD00048',Moose
'PD00048',Horse
'PD00048',Tiger
'PD00048',Leopard
'PD00048',Jaguar
'PD00146',Cougar 
'PD00146',Panda 
'PD00146',Leopard 
'PD00146',Vulture 
PD215,Cow 
PD215,Leopard
PD215,Tiger 
'PD00267',Chat
'PD00267',Chien
'PD00267',Oiseau
'PD00267',Lapin
'PD00267',Poisson
'PD00267',Elephant
'PD00267',Gazelle
'PD00267',Ours
'PD00267',Renard
'PD00267',Cheval
'PD00267',Baleine
'PD00267',Vache
'PD00267',Serpent
'PD00457',Rhinoceros
'PD00457',Lizard 
'PD00457',Buffalo 
'PD00457',Tiger 
'PD00457',Lion 
'PD00457',Leopard 
'PD00457',Gazelle 
'PD00457',Chica 
'PD00457',Chat 
'PD00457',Horse 
'PD00457',Octopus 
'PD00457',Kangaroo 
PD00458,Kitten 
PD00458,Cat
PD00458,Eel
PD00458,Whale 
PD00458,Tiger 
PD00458,Reptile 
PD00458,Ox 
PD00458,Snake 
PD00458,Tiger 
PD00458,lionfish 
PD00458,crocodile
PD00458,whale 
PD00458,dolphin 
PD00471,cat
PD00471,dog
PD00471,bird
PD00471,cow 
PD00471,calf
PD00471,turtle 
PD00471,hen 
PD00471,rabbit 
PD00471,pig 
PD00471,monkey 
PD00471,bird 
PD00471,swan 
PD00471,éléphant
PD00471,ostriche 
PD00471,panda
PD00471,panther 
PD00471,donkey 
PD00471,wolf
PD00471,crustacean 
PD00471,léopard
PD00471,zebra 
PD00471,butterfly 
PD00471,pond 
PD00472,Fly
PD00472,Cat
PD00472,Duck
PD00472,Pigeon
PD00472,Turkey
PD00472,Lark
PD00472,Dog
PD00472,Pig
PD00472,Rabbit
PD00472,Monkey
PD00472,Whale
PD00472,Tiger
PD00472,Bear
PD00472,Rooster
PD00472,Fox
PD00472,Chicken
PD00472,Rat
PD00472,Rooster
PD00472,Parakeet
PD00472,Sheep
'PD00576',Dog
'PD00576',Cat
'PD00576',Goat
'PD00576',Duck
'PD00576',Pig
'PD00576',Cow
'PD00576',Rat
'PD00576',Tiger
'PD00576',Elephant
'PD00576',Giraffe
'PD00576',Parrot
'PD00576',Blue tit
'PD00576',Squirrel
'PD00576',Dog
'PD00576',Tuna
PD00583,Hare
PD00583,Cat 
PD00583,Fox
PD00583,Elephant 
PD00583,Parrot 
PD00583,Butterfly 
PD00647,elephant
PD00647,tiger
PD00647,alligator
PD00647,nude
PD00647,papyrus
PD00647,violet
PD00647,dog
PD00647,cat
PD00647,champagne
PD00647,lion
PD00647,car
PD00647,pie
PD00647,table
PD00647,insect
PD00647,fish
PD00653,cow
PD00653,bear
PD00653,hare
PD00653,pig
PD00653,deer
PD00653,ladybug
PD00653,bird
PD00653,elk
PD00653,crocodile
PD00653,snail
PD00653,otter
PD00653,ewe
PD00653,tiger
PD00653,child
PD00653,panda
PD00653,puppy
PD00653,cow 
PD0666,cat
PD0666,donkey
PD0666,blood
PD0666,whale
PD0666,cow
PD0666,bison
PD0666,goat
PD0666,lion
PD0666,panther
PD0666,elephant
PD0666,boar
PD0666,trout
PD0666,bird
PD0666,marmot
PD0666,fly
PD0666,mouse
PD0666,squirrel
PD0666,ram
PD0666,shark
'PD00760',Chicken
'PD00760',Rabbit
'PD00760',Bear
'PD00760',Deer
'PD00760',Tiger
'PD00760',Blue Parrot
'PD00760',Kangaroo
'PD00760',Roe Deer
'PD00760',Lion
'PD00760',Goose
'PD00760',Dolphin
'PD00760',Crocodile
'PD00760',Penguin
'PD00782',Alligator
'PD00782',Leopard
'PD00782',Lion
'PD00782',Sergeant Antelope
'PD00782',Crocodile
'PD00782',Cougar
'PD00782',Singer Panther
'PD00782',Boa
'PD00782',Chamois
'PD00782',Lynx
'PD00782',Moose
'PD00782',Bear 
'PD00782',Caracal
'PD00782',Camel 
'PD00782',Orangutan
'PD00782',Gorilla
'PD00782',Rhinoceros
'PD00782',Hippo
'PD00782',TaurotragusTortoise
'PD00782',Cougar 
'PD00786',Cat
'PD00786',Bear
'PD00786',Tiger
'PD00786',Cougar
'PD00786',Cheetah
'PD00786',Weasel
'PD00786',Opossum
'PD00786',Hyena
'PD00786',Jackal
'PD00786',Camel
'PD00786',Mouse
'PD00849',"""Arctic Fox"""
'PD00849',"""Kangaroo"""
'PD00849',"""Cheetah"""
'PD00849',"""Wild Boar"""
'PD00849',"""Raccoon"""
'PD00849',"""Gorilla"""
'PD00849',"""Sea Urchin"""
'PD00849',"""Sea Horse"""
'PD00869',Llama
'PD00869',Ferret
'PD00869',Elephant
'PD00869',Anteater
'PD00869',Kangaroo
'PD00869',Armadillo
'PD00869',Sloth
'PD00869',Leopard
'PD00869',Gazelle
'PD00955',Cat
'PD00955',Bear
'PD00955',Tiger
'PD00955',Cougar
'PD00955',Cheetah
'PD00955',Weasel
'PD00955',Opossum
'PD00955',Hyena
'PD00955',Jackal
'PD00955',Camel
'PD00955',Mouse
'PD00955',Llama
'PD00955',Ferret
'PD00955',Elephant
'PD00955',Anteater
'PD00955',Kangaroo
'PD00955',Armadillo
'PD00955',Sloth
'PD00955',Leopard
'PD00955',Gazelle
'PD00955',Pig
'PD00955',Armadillo
'PD00955',Chipmunk
'PD00955',Chinchilla
'PD00955',Lemur
'PD00955',Chimpanzee
'PD00955',Ox
'PD00955',Skunk
'PD00955',Spider monkey
PD00979',Grey Wolf
PD00979',Red Fox
PD00979',Mountain Goat
PD00979',Wild Boar
PD00979',Armadillo
PD00979',Whale Shark
'PD00999',Raccoon
'PD00999',Beaver
'PD00999',Lemming
'PD00999',Lion
'PD00999',Bison
'PD00999',Serval
PD01003,Greyhound 
PD01003,Sparrow
PD01003,Sea Turtle
PD01003,Squid
'PD01126',Panda
'PD01126',Weasel
'PD01126',Cheetah
'PD01126',Oryx
'PD01126',Elephant
'PD01133',Lion
'PD01133',Moose
'PD01133',Mongoose
'PD01133',Duck
'PD01133',Puma
'PD01133',Zebra
'PD01133',Boa
'PD01133',Viper
'PD01133',Guppy
'PD01133',Goldfish
'PD01145',Lion 
'PD01145',Tiger 
'PD01145',Bear
'PD01146',Wolf
'PD01146',Cat
'PD01146',Goat
'PD01146',Duck
'PD01146',Goose
'PD01146',Bull
'PD01146',Antelope
'PD01146',Zebra
'PD01146',Camel
'PD01146',Elephant
'PD01146',Rhinoceros
'PD01146',Lion
'PD01146',Crocodile
'PD01146',Donkey
'PD01146',Horse
'PD01146',Mouse
'PD01156',Frog 
'PD01156',Horse
'PD01156',Salamander
'PD01156',Bear
'PD01156',Peacock
'PD01156',Cat
'PD01156',Snake
'PD01160',Lemur
'PD01160',Swordfish
'PD01160',Snail
'PD01160',Ferret
'PD01160',Zebra
'PD01160',Tarantula
'PD01160',Fly
'PD01160',Crocodile
'PD01160',Crow
'PD01160',Cobra
PD01161,horse
PD01161,cow
PD01161,sheep
PD01161,ewe
PD01161,camel
PD01161,hippopotamus
PD01161,elephant
PD01161,deer
PD01161,giraffe
PD01161,cat
PD01161,ferret
PD01161,rabbit
PD01161,hare
PD01161,tiger
PD01161,lion
PD01161,snake
PD01161,bee
PD01161,wasp
PD01161,mosquito
PD01161,wolf
PD01161,fox
PD01161,zebra
PD01161,coyote
PD01161,hen
PD01161,bird
PD01161,crow
'PD01185',Sardine
'PD01185',Antelope
'PD01201',Lion
'PD01201',Cat
'PD01201',Leopard
'PD01201',Elephant
'PD01201',Hippo
'PD01201',Spider
'PD01201',Camel
'PD01201',Rabbit
'PD01201',Fish
'PD01201',Reindeer
'PD01201',Deer
,
'PD01225',Lion
'PD01225',Cat
'PD01225',Puppy
'PD01225',Horse
'PD01225',Bird
'PD01225',Bear
'PD01225',Rabbit
'PD01225',Roe deer
'PD01225',Bird 
'PD01225',Wolf
'PD01225',Rat
'PD01225',Fox
'PD01225',Bird 
'PD01225',Camel
'PD01225',Dromedary
'PD01225',Alligator 
'PD01225',Crocodile
,
,
'PD01284',Lion
'PD01284',Tiger
'PD01284',Cat
'PD01284',Owl
'PD01284',Bear
'PD01284',Monkey
'PD01284',Pigeon
'PD01284',Goat
'PD01284',Rooster
'PD01284',Alligator
'PD01284',Frog
'PD01284',Elephant
'PD01284',Pigeon
'PD01284',Cow
'PD01284',Pig
'PD01284',Wolf
'PD01284',Egg
'PD01284',Brown bear
'PD01284',Platypus
,
'PD01306',Dog
'PD01306',Cat
'PD01306',Raccoon
'PD01306',Wolf
'PD01306',Elephant
'PD01306',Giraffe
'PD01306',Leopard
'PD01306',Tiger
'PD01306',Eagle
'PD01306',Horse
'PD01306',Turtle
'PD01306',Deer
'PD01306',Cow
'PD01306',Snail
'PD01306',Sheep
'PD01306',Donkey
'PD01306',Llama
'PD01306',Parrot
'PD01306',Chameleon
,
'PD01312',Dog
'PD01312',Cat
'PD01312',Horse
'PD01312',Bird
'PD01312',Sheep
'PD01312',Hen
'PD01312',Chicken
'PD01312',Skunk
'PD01312',Rabbit
'PD01312',Cow
'PD01312',Tiger
'PD01312',Lynx
'PD01312',Parakeet
'PD01312',Orca
'PD01312',Fox
'PD01312',Squirrel
'PD01312',Deer
'PD01312',Turkey
'PD01312',Rat
'PD01312',Elephant
'PD01312',Lizard
'PD01312',Crocodile
'PD01312',Duck
,
'PD01319',Dog
'PD01319',Cat
'PD01319',Bear
'PD01319',Rat
'PD01319',Lion
'PD01319',Elephant
'PD01319',Tiger
'PD01319',Giraffe
'PD01319',Eagle
'PD01319',Rooster
'PD01319',Wolf
'PD01319',Fox
'PD01319',Bird
'PD01319',Cow
'PD01319',Pig
,
,
,
'PD01377',Tiger
PD01377',Bird
'PD01377',Lion
PD01377',Giraffe
'PD01377',Sheep
PD01377',Cow
'PD01377',Tiger
PD01377',Horse
'PD01377',Donkey
PD01377',Mule
'PD01377',Mule
PD01377',Dog
'PD01377',Cat
PD01377',Horse
'PD01377',Eaglet
PD01377',Goat
'PD01377',Dromedary
PD01377',Camel
,
'PD01485',horse 
'PD01485',fox
'PD01485',chicken 
'PD01485',pig
'PD01485',pangolin 
'PD01485',pegnuin 
'PD01485',serprent 
'PD01485',lion 
'PD01485',tiger 
'PD01485',lion 
'PD01485',crow
'PD01485',mare
'PD01485',primate
'PD01485',zebra
,
,
'PD01559',dpg 
'PD01559',cat 
'PD01559',pigeon 
'PD01559',fish 