Variable,Description
ID,Participant ID
norm_LC_avg,LC integrity (normalized)
alpha_NET_mean,Î±-power (8-12 Hz)
exploitation_coherence_ratio,EE metric (Exploitation Coherence Ratio)
SVF_count,SVF Count (number of words)
Age,Age in years
disease_duration_symptoms,Disease duration since first symptoms (years)
disease_duration_diagnosis,Disease duration since diagnosis (years)
hoehn_yahr_score,Hoehn and Yahr score (disease severity: 1-5)
cognitive_complaint,Patient cognitive complaint (Yes/No/Uncertain)
num_switches,Number of switches between exploitation/exploration
novelty_score,Novelty score
exploitation_intra_mean,Mean exploitation coherence
exploration_intra_mean,Mean exploration coherence
inter_phase_mean,Mean inter-phase coherence
exploration_coherence_ratio,Exploration coherence ratio
phase_separation_index,Phase separation index
mean_zipf,Mean Zipf frequency
median_zipf,Median Zipf frequency
std_zipf,Standard deviation of Zipf frequency
mean_rank,Mean word rank
median_rank,Median word rank
std_rank,Standard deviation of word rank
